NTD ID,Legacy NTD ID,Agency,Mode/Type of Service Status,Reporter Type,UACE CD,UZA Name,Mode,TOS,3 Mode,Date,UPT,VOMS,VRH,VRM,Agency Mode TOS Date,State,FTA Region
90003,9003,San Francisco Bay Area Rapid Transit District,Active,Full Reporter,78904,"San Francisco--Oakland, CA",HR,DO,Rail,Jan-21,"1,114,032",408,"135,850","4,017,047",90003_HR_DO_Active_Full Reporter_78904_2021-01-01,CA,9
90003,9003,San Francisco Bay Area Rapid Transit District,Active,Full Reporter,78904,"San Francisco--Oakland, CA",HR,DO,Rail,Feb-21,"1,185,642",408,"127,707","3,768,495",90003_HR_DO_Active_Full Reporter_78904_2021-02-01,CA,9
90003,9003,San Francisco Bay Area Rapid Transit District,Active,Full Reporter,78904,"San Francisco--Oakland, CA",HR,DO,Rail,Mar-21,"1,482,805",408,"143,047","4,257,334",90003_HR_DO_Active_Full Reporter_78904_2021-03-01,CA,9
90003,9003,San Francisco Bay Area Rapid Transit District,Active,Full Reporter,78904,"San Francisco--Oakland, CA",HR,DO,Rail,Apr-21,"1,597,612",436,"133,553","4,012,163",90003_HR_DO_Active_Full Reporter_78904_2021-04-01,CA,9
90003,9003,San Francisco Bay Area Rapid Transit District,Active,Full Reporter,78904,"San Francisco--Oakland, CA",HR,DO,Rail,May-21,"1,779,074",436,"132,090","3,945,232",90003_HR_DO_Active_Full Reporter_78904_2021-05-01,CA,9
90003,9003,San Francisco Bay Area Rapid Transit District,Active,Full Reporter,78904,"San Francisco--Oakland, CA",HR,DO,Rail,Jun-21,"2,127,746",496,"140,442","4,221,415",90003_HR_DO_Active_Full Reporter_78904_2021-06-01,CA,9
90003,9003,San Francisco Bay Area Rapid Transit District,Active,Full Reporter,78904,"San Francisco--Oakland, CA",HR,DO,Rail,Jul-21,"2,391,835",496,"143,831","4,361,935",90003_HR_DO_Active_Full Reporter_78904_2021-07-01,CA,9
90003,9003,San Francisco Bay Area Rapid Transit District,Active,Full Reporter,78904,"San Francisco--Oakland, CA",HR,DO,Rail,Aug-21,"2,643,220",566,"219,713","7,054,058",90003_HR_DO_Active_Full Reporter_78904_2021-08-01,CA,9
90003,9003,San Francisco Bay Area Rapid Transit District,Active,Full Reporter,78904,"San Francisco--Oakland, CA",HR,DO,Rail,Sep-21,"2,921,077",566,"213,772","6,857,986",90003_HR_DO_Active_Full Reporter_78904_2021-09-01,CA,9
90003,9003,San Francisco Bay Area Rapid Transit District,Active,Full Reporter,78904,"San Francisco--Oakland, CA",HR,DO,Rail,Oct-21,"3,057,821",566,"213,948","6,841,157",90003_HR_DO_Active_Full Reporter_78904_2021-10-01,CA,9
90003,9003,San Francisco Bay Area Rapid Transit District,Active,Full Reporter,78904,"San Francisco--Oakland, CA",HR,DO,Rail,Nov-21,"2,971,042",566,"207,805","6,674,112",90003_HR_DO_Active_Full Reporter_78904_2021-11-01,CA,9
90003,9003,San Francisco Bay Area Rapid Transit District,Active,Full Reporter,78904,"San Francisco--Oakland, CA",HR,DO,Rail,Dec-21,"2,834,892",532,"203,081","6,404,484",90003_HR_DO_Active_Full Reporter_78904_2021-12-01,CA,9
90003,9003,San Francisco Bay Area Rapid Transit District,Active,Full Reporter,78904,"San Francisco--Oakland, CA",MG,PT,Rail,Jan-21,"4,800",2,"1,444","16,339",90003_MG_PT_Active_Full Reporter_78904_2021-01-01,CA,9
90003,9003,San Francisco Bay Area Rapid Transit District,Active,Full Reporter,78904,"San Francisco--Oakland, CA",MG,PT,Rail,Feb-21,"5,598",2,"1,376","15,524",90003_MG_PT_Active_Full Reporter_78904_2021-02-01,CA,9
90003,9003,San Francisco Bay Area Rapid Transit District,Active,Full Reporter,78904,"San Francisco--Oakland, CA",MG,PT,Rail,Mar-21,"8,720",2,"1,560","18,913",90003_MG_PT_Active_Full Reporter_78904_2021-03-01,CA,9
90003,9003,San Francisco Bay Area Rapid Transit District,Active,Full Reporter,78904,"San Francisco--Oakland, CA",MG,PT,Rail,Apr-21,"12,272",2,"1,512","18,209",90003_MG_PT_Active_Full Reporter_78904_2021-04-01,CA,9
90003,9003,San Francisco Bay Area Rapid Transit District,Active,Full Reporter,78904,"San Francisco--Oakland, CA",MG,PT,Rail,May-21,"17,833",2,"1,541","18,982",90003_MG_PT_Active_Full Reporter_78904_2021-05-01,CA,9
90003,9003,San Francisco Bay Area Rapid Transit District,Active,Full Reporter,78904,"San Francisco--Oakland, CA",MG,PT,Rail,Jun-21,"22,457",2,"1,511","19,318",90003_MG_PT_Active_Full Reporter_78904_2021-06-01,CA,9
90003,9003,San Francisco Bay Area Rapid Transit District,Active,Full Reporter,78904,"San Francisco--Oakland, CA",MG,PT,Rail,Jul-21,"27,802",2,"1,562","19,228",90003_MG_PT_Active_Full Reporter_78904_2021-07-01,CA,9
90003,9003,San Francisco Bay Area Rapid Transit District,Active,Full Reporter,78904,"San Francisco--Oakland, CA",MG,PT,Rail,Aug-21,"29,051",2,"1,678","21,517",90003_MG_PT_Active_Full Reporter_78904_2021-08-01,CA,9
90003,9003,San Francisco Bay Area Rapid Transit District,Active,Full Reporter,78904,"San Francisco--Oakland, CA",MG,PT,Rail,Sep-21,"33,215",2,"1,618","20,573",90003_MG_PT_Active_Full Reporter_78904_2021-09-01,CA,9
